Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,28820
design__instance__area,392988
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.015599792823195457
power__switching__total,0.0031590715516358614
power__leakage__total,0.000007197956165327923
power__total,0.018766062334179878
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.29856135075954243
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.30010789147658445
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1208564948992467
timing__setup__ws__corner:nom_fast_1p32V_m40C,4.834749626382186
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.120856
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,5.454805
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,13
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.31367184737452786
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.31198797206545564
timing__hold__ws__corner:nom_slow_1p08V_125C,0.634214809731638
timing__setup__ws__corner:nom_slow_1p08V_125C,0.7763336859771833
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.634215
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,0.776334
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.30427880520903333
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.30488032406078736
timing__hold__ws__corner:nom_typ_1p20V_25C,0.31206682565800975
timing__setup__ws__corner:nom_typ_1p20V_25C,3.7608499601263388
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.312067
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,3.760850
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,13
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.29856135075954243
clock__skew__worst_setup,0.30010789147658445
timing__hold__ws,0.1208564948992467
timing__setup__ws,0.7763336859771833
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.120856
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.776334
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1289.28 313.74
design__core__bbox,2.88 3.78 1286.4 309.96
design__io,45
design__die__area,404499
design__core__area,392988
design__instance__count__stdcell,20372
design__instance__area__stdcell,354160
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.901198
design__instance__utilization__stdcell,0.901198
design__rows,81
design__rows:CoreSite,81
design__sites,216594
design__sites:CoreSite,216594
design__instance__count__class:buffer,10
design__instance__area__class:buffer,301.19
design__instance__count__class:inverter,684
design__instance__area__class:inverter,4254.77
design__instance__count__class:sequential_cell,2537
design__instance__area__class:sequential_cell,126228
design__instance__count__class:multi_input_combinational_cell,11037
design__instance__area__class:multi_input_combinational_cell,108601
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,5694
design__instance__area__class:timing_repair_buffer,105204
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,959989
design__violations,0
design__instance__count__class:clock_buffer,403
design__instance__area__class:clock_buffer,9505.64
design__instance__count__class:clock_inverter,7
design__instance__area__class:clock_inverter,65.3184
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,3356
global_route__vias,175049
global_route__wirelength,1472530
antenna__violating__nets,5
antenna__violating__pins,6
route__antenna_violation__count,5
antenna_diodes_count,0
route__net,20375
route__net__special,2
route__drc_errors__iter:0,11074
route__wirelength__iter:0,1104607
route__drc_errors__iter:1,5275
route__wirelength__iter:1,1098992
route__drc_errors__iter:2,5211
route__wirelength__iter:2,1097495
route__drc_errors__iter:3,330
route__wirelength__iter:3,1096432
route__drc_errors__iter:4,18
route__wirelength__iter:4,1096356
route__drc_errors__iter:5,2
route__wirelength__iter:5,1096363
route__drc_errors__iter:6,0
route__wirelength__iter:6,1096363
route__drc_errors,0
route__wirelength,1096363
route__vias,160511
route__vias__singlecut,160511
route__vias__multicut,0
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,1605.28
design__instance__count__class:fill_cell,8448
design__instance__area__class:fill_cell,38828.2
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,20
