Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,81169
design__instance__area,1.19835E+6
design__instance_unmapped__count,1
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,3
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,412
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,15
power__internal__total,0.01759462058544159
power__switching__total,0.003065016120672226
power__leakage__total,0.00001557496580062434
power__total,0.020675212144851685
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.3550916605706169
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.3683504439060356
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11566165019780289
timing__setup__ws__corner:nom_fast_1p32V_m40C,4.118078439257309
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.115662
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,9.549696
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,55
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,412
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,15
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.4200118982604914
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.4459403805778023
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6430397507593648
timing__setup__ws__corner:nom_slow_1p08V_125C,-0.13140244819726976
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-0.13140244819726976
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-0.13140244819726976
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.643040
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,1
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-0.131402
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,1
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,19
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,412
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,15
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.38516765866947095
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.40316481849684904
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3029399039590443
timing__setup__ws__corner:nom_typ_1p20V_25C,3.2907411060863647
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.302940
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,7.352702
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,55
design__max_fanout_violation__count,412
design__max_cap_violation__count,15
clock__skew__worst_hold,-0.3550916605706169
clock__skew__worst_setup,0.3683504439060356
timing__hold__ws,0.11566165019780289
timing__setup__ws,-0.13140244819726976
timing__hold__tns,0.0
timing__setup__tns,-0.13140244819726976
timing__hold__wns,0
timing__setup__wns,-0.13140244819726976
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115662
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1
timing__setup_r2r__ws,-0.131402
timing__setup_r2r_vio__count,1
design__die__bbox,0.0 0.0 1724.16 710.64
design__core__bbox,2.88 3.78 1721.28 706.86
design__io,45
design__die__area,1.22526E+6
design__core__area,1.20817E+6
design__instance__count__stdcell,56578
design__instance__area__stdcell,773999
design__instance__count__macros,2
design__instance__area__macros,300205
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.889115
design__instance__utilization__stdcell,0.852452
design__rows,186
design__rows:CoreSite,186
design__sites,495008
design__sites:CoreSite,495008
design__instance__count__class:macro,2
design__instance__area__class:macro,300205
design__instance__count__class:buffer,3094
design__instance__area__class:buffer,24929.9
design__instance__count__class:inverter,3690
design__instance__area__class:inverter,20292.2
design__instance__count__class:clock_gate_cell,1
design__instance__area__class:clock_gate_cell,27.216
design__instance__count__class:sequential_cell,5958
design__instance__area__class:sequential_cell,291875
design__instance__count__class:multi_input_combinational_cell,32964
design__instance__area__class:multi_input_combinational_cell,286570
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:STA-1140,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,251506
design__instance__displacement__mean,4.453
design__instance__displacement__max,282.54
route__wirelength__estimated,2.49766E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,10001
design__instance__area__class:timing_repair_buffer,133796
design__instance__count__class:clock_buffer,532
design__instance__area__class:clock_buffer,14181.4
design__instance__count__class:clock_inverter,236
design__instance__area__class:clock_inverter,1772.67
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,6716
global_route__vias,44
global_route__wirelength,3652380
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,79
design__instance__count__class:antenna_cell,102
design__instance__area__class:antenna_cell,555.206
route__net,56340
route__net__special,2
route__drc_errors__iter:0,130
route__wirelength__iter:0,2834152
route__drc_errors__iter:1,38
route__wirelength__iter:1,2834123
route__drc_errors__iter:2,0
route__wirelength__iter:2,2834118
route__drc_errors__iter:3,0
route__wirelength__iter:3,2834120
route__drc_errors__iter:4,6
route__wirelength__iter:4,2834033
route__drc_errors__iter:5,0
route__wirelength__iter:5,2834039
route__drc_errors__iter:6,17
route__wirelength__iter:6,2832553
route__drc_errors__iter:7,17
route__wirelength__iter:7,2832553
route__drc_errors__iter:8,4
route__wirelength__iter:8,2832554
route__drc_errors__iter:9,4
route__wirelength__iter:9,2832554
route__drc_errors__iter:10,4
