Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,84
design__inferred_latch__count,0
design__instance__count,3466
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0007615354843437672
power__switching__total,0.0005544095765799284
power__leakage__total,8.611264661340101E-7
power__total,0.0013168061850592494
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2542296445321126
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.25527858327544445
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12353443617710679
timing__setup__ws__corner:nom_fast_1p32V_m40C,5.506436351633843
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.123534
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.485273
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2523437363824203
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2539322990421329
timing__hold__ws__corner:nom_slow_1p08V_125C,0.4068383800557754
timing__setup__ws__corner:nom_slow_1p08V_125C,5.175007235878768
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.406838
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,16.752926
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2534359183137843
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2545688454313044
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2568267060603413
timing__setup__ws__corner:nom_typ_1p20V_25C,5.382270781404963
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.256827
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,17.874130
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2523437363824203
clock__skew__worst_setup,0.2539322990421329
timing__hold__ws,0.12353443617710679
timing__setup__ws,5.175007235878768
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.123534
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.752926
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,2090
design__instance__area__stdcell,18418
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.636386
design__instance__utilization__stdcell,0.636386
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,2
design__instance__area__class:buffer,14.5152
design__instance__count__class:inverter,751
design__instance__area__class:inverter,4087.84
design__instance__count__class:sequential_cell,40
design__instance__area__class:sequential_cell,1983.14
design__instance__count__class:multi_input_combinational_cell,177
design__instance__area__class:multi_input_combinational_cell,1830.73
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,74
design__instance__area__class:timing_repair_buffer,1177.55
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,17417.8
design__violations,0
design__instance__count__class:clock_buffer,107
design__instance__area__class:clock_buffer,2523.83
design__instance__count__class:clock_inverter,939
design__instance__area__class:clock_inverter,6800.37
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,44
global_route__vias,6666
global_route__wirelength,28413
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2100
route__net__special,2
route__drc_errors__iter:0,155
route__wirelength__iter:0,16448
route__drc_errors__iter:1,32
route__wirelength__iter:1,16295
route__drc_errors__iter:2,11
route__wirelength__iter:2,16327
route__drc_errors__iter:3,0
route__wirelength__iter:3,16320
route__drc_errors,0
route__wirelength,16320
route__vias,6606
route__vias__singlecut,6606
route__vias__multicut,0
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,204.075
design__instance__count__class:fill_cell,1376
design__instance__area__class:fill_cell,10523.5
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,14
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,14
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,14
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,14
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19954
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19979
